コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減
23113,愛知県,名古屋,名古屋市,守山区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-5,-,-1,16,-,-,-,-,5,-,1,-,1,9,-,-21,-,-1,-,-,-1,-,-1,-,-2,-5,-,-5
23114,愛知県,名古屋,名古屋市,緑区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,5,-2,24,-,-,3,-,2,4,-,-,-,68,-,-50,-4,-2,-6,-2,-14,-2,-,-,-1,-4,-,-9
23115,愛知県,名古屋,名古屋市,名東区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-5,1,-3,12,-,-,1,-,5,3,-,-,-,14,-,-10,-,-,-2,-,-3,-1,-,-,-,-11,-,-11
23116,愛知県,名古屋,名古屋市,天白区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,25,1,-1,7,-,2,-,-,2,5,1,-,-,30,-,-6,-,-,-5,-,-,-,-,-,-,-3,-,-8
23201,愛知県,東三河,豊橋市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,58,3,-3,47,1,2,6,8,30,5,3,6,1,96,-,-41,-,-2,-9,-12,-65,-5,-4,-1,-1,-18,-,11
23202,愛知県,西三河,岡崎市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,5,-,61,1,2,11,6,5,3,-,-,-,59,-,-54,-,-4,-8,-3,-5,-7,-,-,-1,-45,-,-16
23203,愛知県,尾張中西部・海部,一宮市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-2,1,-4,28,-,3,2,3,9,6,-,1,1,-,54,-36,-3,-1,-5,-,-18,-8,-4,-,-,-15,-,-16
23204,愛知県,尾張北東部,瀬戸市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,16,-,-2,24,-,-,-,-,4,1,1,-,1,18,-,-14,-,-,-5,-,-,-1,-,-,-,-12,-,1
23205,愛知県,知多,半田市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,30,3,-,33,-,1,2,-,4,7,1,-,-,38,-,-14,-7,-1,-3,-3,-6,-3,-1,-,-,-11,-,-10
23206,愛知県,尾張北東部,春日井市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,71,2,-,36,-,4,1,-,12,4,2,-,1,72,2,-25,-,-,-4,-,-3,-7,-3,-,-1,-8,-,-14
23207,愛知県,東三河,豊川市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,21,1,-,21,2,2,1,3,8,8,1,1,1,13,-,-15,-,-1,-3,-,-8,-,-,-,-,-4,-,-10
23208,愛知県,尾張中西部・海部,津島市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,26,1,-1,19,-,3,-,-,5,-,-,-,-,19,-,-5,-,-,-3,-,-3,-1,-,-,-,-7,-,-1
23209,愛知県,西三河,碧南市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,1,2,-,34,-,-,3,-,3,-,1,-,2,10,-,-34,-,-1,-,-4,-,-1,-,-,-1,-9,-,-4
23210,愛知県,西三河,刈谷市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,25,2,-1,26,1,1,1,-,5,4,-,-,-,37,-,-21,-,-1,-4,-,-3,-3,-,-,-,-12,-,-7
23211,愛知県,西三河,豊田市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,114,3,-,77,4,8,9,6,16,7,9,-,1,121,-,-50,-1,-3,-7,-7,-12,-11,-4,-1,-2,-48,-,-1
23212,愛知県,西三河,安城市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-5,4,-,31,-,-,3,2,11,6,1,1,-,107,-,-73,-,-2,-3,-,-21,-37,-,-,-11,-20,-,-4
23213,愛知県,西三河,西尾市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,53,4,-,70,2,2,7,5,12,4,2,-,2,48,-,-46,-1,-2,-2,-3,-16,-2,-2,-,-1,-35,-,5
23214,愛知県,東三河,蒲郡市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,22,2,-1,12,1,1,4,-,3,5,-,-,1,12,-,-12,-,-1,-,-1,-3,-,-,-,-,-2,-,1
23215,愛知県,尾張北東部,犬山市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,38,1,-,26,-,1,6,-,3,-,-,1,-,17,-,-4,-,-,-1,-4,-,-2,-1,-,-,-4,-,-1
23216,愛知県,知多,常滑市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-9,-,-1,12,-,-,-,-,-,1,-,-,-,18,-,-24,-,-,-1,-,-8,-,-,-,-,-2,-,-4
23217,愛知県,尾張北東部,江南市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-2,2,-,10,-,-,-,-,5,-,-,-,-,11,-,-10,-1,-,-,-,-3,-5,-2,-,-1,-7,-,-1
23219,愛知県,尾張北東部,小牧市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,27,3,-,37,-,2,3,9,13,9,2,1,5,24,-,-21,-,-3,-4,-2,-9,-4,-3,-,-1,-26,-,-8
23220,愛知県,尾張中西部・海部,稲沢市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,22,3,-,18,-,-,3,-,17,-,-,-,-,-,9,-7,-,-,-3,-2,-3,-,-,-,-,-4,-,-9
23221,愛知県,東三河,新城市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-4,1,-,2,-,-,1,-,2,2,-,-,-,10,-,-13,-,-,-,-1,-5,-,-,-,-,-1,-,-2
23222,愛知県,知多,東海市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,13,-,-,15,-,2,3,-,-,1,-,-,-,19,-,-8,-,-1,-1,-,-4,-1,-,-,-,-2,-,-10
23223,愛知県,知多,大府市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,55,3,-,13,-,-,-,-,3,2,-,-,1,108,-,-27,-,-,-1,-1,-13,-5,-,-10,-6,-10,-,-2
23224,愛知県,知多,知多市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-29,-,-,3,-,-,-,-,-,-,-,-,-,13,-,-4,-,-,-5,-13,-5,-6,-9,-,-,-,-,-3
23225,愛知県,西三河,知立市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,68,1,-,54,-,1,-,1,2,3,-,-,-,39,-,-20,-,-,-1,-,-6,-1,-,-,-1,-3,-,-1
23226,愛知県,尾張北東部,尾張旭市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-8,-,-,6,-,-,1,-,-,2,-,-,-,17,-,-24,-,-,-1,-1,-5,-,-,-,-,-2,-,-1
23227,愛知県,西三河,高浜市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-,2,-,32,-,-,-,-,4,-,1,-,-,2,-,-18,-,-,-2,-1,-,-,-1,-,-1,-18,-,-
23228,愛知県,尾張北東部,岩倉市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,11,1,-1,7,-,-,1,1,3,1,-,-,1,14,-,-11,-,-,-1,-1,-2,-1,-,-,-,-3,-,2
23229,愛知県,尾張北東部,豊明市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,28,4,-1,20,-,-,1,1,5,2,2,-,-,17,-,-15,-,-,-1,-,-1,-,-1,-,-,-2,-,-3
23230,愛知県,尾張北東部,日進市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,5,1,-1,11,-,-,-,-,-,-,-,-,-,6,-,-2,-,-,-,-,-,-,-,-,-,-4,-,-6
23231,愛知県,東三河,田原市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-12,-,-,2,-,-,-,-,1,-,-,-,-,1,-,-,-1,-,-,-,-2,-1,-,-,-,-11,-1,-
23232,愛知県,尾張中西部・海部,愛西市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,4,-,-,10,-,-,-,-,2,2,-,-,-,4,-,-10,-,-,-,-,-1,-,-,-,-,-1,-,-2
23233,愛知県,尾張中西部・海部,清須市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,11,2,-1,8,-,-,2,-,2,4,-,-,-,14,-,-17,-,-,-,-1,-2,-4,-,-,-,-2,-,6
23234,愛知県,尾張中西部・海部,北名古屋市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,2,-,-,23,-,-,2,-,1,2,-,-,-,1,1,-14,-,-,-,-1,-1,-,-,-,-,-4,-,-8
23235,愛知県,尾張中西部・海部,弥富市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,25,-,-,20,-,1,10,2,8,4,-,-,-,10,-,-6,-,-2,-2,-1,-5,-,-1,-,-,-8,-,-5
23236,愛知県,西三河,みよし市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,3,-,18,2,-,4,-,1,-,-,-,1,5,-,-13,-,-,-,-1,-3,-1,-,-,-,-2,-,-4
23237,愛知県,尾張中西部・海部,あま市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,24,1,-,14,-,-,1,-,7,-,4,-,1,36,-,-21,-,-1,-,-,-1,-1,-,-,-1,-11,-,-4
23238,愛知県,尾張北東部,長久手市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,-,-,2,-,2,-,-,-,2,-,-,1,16,-,-2,-,-,-1,-,-,-,-,-,-,-5,-,-5
23302,愛知県,尾張北東部,愛知郡,東郷町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,8,-,-,5,3,3,2,-,-,4,-,-,-,2,-,-2,-,-,-,-,-1,-,-,-,-,-4,-,-4
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,-,-,3,-,-,-,-,1,-,-,-,-,29,-,-4,-9,-2,-3,-,-5,-,-,-,-,-,-,-
23361,愛知県,尾張北東部,丹羽郡,大口町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,4,-,-,5,-,-,-,-,1,5,-,-,-,-,-,-3,-,-,-,-,-,-,-,-,-,-1,-,-3
23362,愛知県,尾張北東部,丹羽郡,扶桑町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,4,-,-,7,-,-,-,-,2,-,-,-,-,1,-,-3,-,-,-,-,-2,-,-,-,-,-1,-,-
23424,愛知県,尾張中西部・海部,海部郡,大治町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,7,-,-,6,-,-,-,-,3,-,-,-,-,6,-,-6,-,-,-,-,-,-,-,-,-,-,-,-2
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-9,-,-,4,-,-,-,-,2,1,-,-,-,12,-,-10,-1,-,-7,-,-4,-,-,-,-,-4,-,-2
23427,愛知県,尾張中西部・海部,海部郡,飛島村,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-,-,-,2,-,-,3,-,1,-,-,-,-,1,-,-6,-,-,-,-,-,-,-,-,-,-1,-,-
23441,愛知県,知多,知多郡,阿久比町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-2,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-2,-,-,-1,-,-,-,-,-,-,-1,-,-1
23442,愛知県,知多,知多郡,東浦町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,3,-,-1,8,-,-,-,-,-,-,-,-,-,6,-,-3,-,-,-,-3,-,-,-,-,-,-3,-,-1
23445,愛知県,知多,知多郡,南知多町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,73,-,-,3,-,-,1,-,-,-,-,-,-,92,-,-13,-,-,-,-,-7,-,-,-,-,-3,-,-
23446,愛知県,知多,知多郡,美浜町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,2,-,-1,1,-,-,-,-,1,-,-,-,-,2,-,-1,-,-,-,-,-,-,-,-,-,-,-,-
23447,愛知県,知多,知多郡,武豊町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,9,1,-,8,-,1,1,-,-,3,-,-,-,8,-,-6,-,-,-,-,-4,-,-,-,-,-2,-,-1
23501,愛知県,西三河,額田郡,幸田町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,10,-,-,10,-,-,-,-,6,-,-,-,-,6,-,-6,-,-,-,-,-3,-,-,-,-,-,-,-3
23561,愛知県,東三河,北設楽郡,設楽町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23562,愛知県,東三河,北設楽郡,東栄町,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23563,愛知県,東三河,北設楽郡,豊根村,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23000,愛知県,―,―,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,1018,105,-25,952,29,40,146,33,246,85,20,21,37,1609,94,-952,-28,-50,-92,-26,-290,-83,-57,-7,-39,-411,-1,-338
23100,愛知県,名古屋,名古屋市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,135,26,-9,283,2,5,39,7,52,13,4,1,6,667,-,-409,-13,-18,-44,-9,-134,-55,-5,-4,-17,-78,-,-175
23101,愛知県,名古屋,名古屋市,千種区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-2,3,-,28,-,1,-,-,1,1,-,-,1,20,-,-24,-,-,-3,-,-1,-1,-,-,-,-8,-,-20
23102,愛知県,名古屋,名古屋市,東区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,7,-,-,17,-,-,1,-,1,2,-,-,-,29,-,-21,-,-3,-1,-,-2,-,-,-1,-,-4,-,-11
23103,愛知県,名古屋,名古屋市,北区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-5,1,-,20,-,-,2,-,5,-,-,-,-,13,-,-18,-,-1,-,-1,-2,-3,-,-,-,-7,-,-14
23104,愛知県,名古屋,名古屋市,西区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-13,-,-,13,-,-,-,1,1,-,-,-,-,8,-,-11,-,-,-4,-2,-3,-1,-1,-,-,-7,-,-7
23105,愛知県,名古屋,名古屋市,中村区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,49,1,-,18,1,1,5,1,7,1,-,-,2,72,-,-27,-,-5,-3,-2,-12,-2,-,-,-,-3,-,-6
23106,愛知県,名古屋,名古屋市,中区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,50,1,-,33,1,1,2,-,3,4,-,-,1,103,-,-46,-3,-,-5,-,-8,-5,-,-,-,-13,-,-19
23107,愛知県,名古屋,名古屋市,昭和区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-7,1,-2,15,-,-,1,-,-,-,-,-,-,33,-,-26,-,-,-2,-1,-,-12,-,-,-,-10,-,-4
23108,愛知県,名古屋,名古屋市,瑞穂区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-3,1,-,9,-,-,1,-,-,-,-,-,-,6,-,-3,-,-,-1,-,-2,-2,-,-,-,-,-,-12
23109,愛知県,名古屋,名古屋市,熱田区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,-,-,13,-,-,4,-,-,1,-,-,-,26,-,-13,-3,-,-1,-,-6,-1,-,-3,-,-3,-,-8
23110,愛知県,名古屋,名古屋市,中川区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,22,3,-1,23,-,2,2,2,4,-,1,-,2,72,-,-29,-7,-,-3,-,-11,-17,-,-,-3,-2,-,-16
23111,愛知県,名古屋,名古屋市,港区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,10,4,-1,39,-,-,1,1,3,1,-,-,-,23,-,-34,-,-,-3,-,-5,-1,-,-,-,-1,-,-17
23112,愛知県,名古屋,名古屋市,南区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,17,5,-3,17,-,-,-,-,16,2,2,-,-,178,-,-87,-,-8,-1,-2,-74,-7,-4,-,-8,-3,-,-6
23113,愛知県,名古屋,名古屋市,守山区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,1,-,6,-,-,9,1,3,-,1,-,-,6,-,-9,-,-,-,-,-,-,-,-,-2,-2,-,-8
23114,愛知県,名古屋,名古屋市,緑区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-37,3,-1,8,-,-,5,-,2,-,-,1,-,19,-,-40,-,-1,-9,-,-4,-,-,-,-3,-6,-,-11
23115,愛知県,名古屋,名古屋市,名東区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,4,1,-1,11,-,-,2,-,1,1,-,-,-,24,-,-10,-,-,-3,-1,-2,-,-,-,-1,-9,-,-9
23116,愛知県,名古屋,名古屋市,天白区,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,31,1,-,13,-,-,4,1,5,-,-,-,-,35,-,-11,-,-,-5,-,-2,-3,-,-,-,-,-,-7
23201,愛知県,東三河,豊橋市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,57,9,-3,31,1,3,9,7,24,5,1,-,5,72,-,-49,-,-2,-6,-2,-23,-2,-11,-,-7,-24,-,19
23202,愛知県,西三河,岡崎市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,128,3,-,52,2,2,10,4,17,-,-,2,2,109,-,-42,-,-3,-2,-2,-1,-,-,-,-1,-15,-,-9
23203,愛知県,尾張中西部・海部,一宮市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,59,-,-,30,-,3,2,-,14,8,-,-,-,-,68,-17,-,-2,-4,-,-8,-1,-1,-,-1,-15,-,-17
23204,愛知県,尾張北東部,瀬戸市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,9,3,-,15,-,-,3,-,2,1,-,-,-,36,-,-15,-,-,-,-,-1,-,-29,-2,-,-4,-,-
23205,愛知県,知多,半田市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-9,2,-,14,-,-,1,-,5,2,-,-,-,25,-,-10,-13,-12,-2,-,-7,-1,-3,-,-,-6,-,-4
23206,愛知県,尾張北東部,春日井市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,47,2,-2,24,-,-,3,1,16,9,-,-,1,42,-,-10,-1,-,-2,-2,-,-2,-,-,-,-15,-,-17
23207,愛知県,東三河,豊川市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,28,3,-,11,1,1,8,-,9,2,2,1,2,30,-,-9,-,-,-1,-,-3,-,-,-1,-,-5,-,-23
23208,愛知県,尾張中西部・海部,津島市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,4,2,-1,11,-,1,-,-,4,-,-,1,-,8,-,-5,-,-,-2,-,-5,-1,-,-,-,-7,-,-2
23209,愛知県,西三河,碧南市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,36,7,-,45,1,1,2,-,1,-,1,-,2,13,-,-25,-,-1,-,-1,-2,-,-1,-,-3,-4,-,-
23210,愛知県,西三河,刈谷市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,27,1,-,31,-,-,-,1,5,1,-,-,-,20,-,-13,-,-2,-1,-,-,-,-1,-,-,-2,-,-13
23211,愛知県,西三河,豊田市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,132,7,-1,55,14,5,14,-,6,15,-,-,1,130,-,-35,-,-3,-7,-3,-8,-4,-,-,-,-41,-,-13
23212,愛知県,西三河,安城市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,44,1,-1,32,-,-,2,-,10,3,-,4,1,39,-,-15,-,-,-2,-,-5,-1,-,-,-3,-23,-,2
23213,愛知県,西三河,西尾市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,31,6,-1,23,-,-,3,3,5,4,1,-,1,58,-,-30,-,-1,-3,-2,-8,-,-,-,-,-33,-,5
23214,愛知県,東三河,蒲郡市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-7,2,-1,7,1,2,-,-,1,-,-,-,1,4,-,-9,-,-,-,-,-1,-1,-,-,-,-4,-,-9
23215,愛知県,尾張北東部,犬山市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,23,-,-,8,-,2,1,1,11,-,-,-,-,12,-,-6,-,-,-,-,-1,-1,-,-,-,-4,-,-
23216,愛知県,知多,常滑市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-6,-,-,5,-,-,-,-,-,-,-,-,-,13,-,-4,-1,-,-,-,-11,-1,-,-,-4,-3,-,-
23217,愛知県,尾張北東部,江南市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-,1,-2,4,-,-,8,-,3,-,-,-,-,16,-,-6,-,-,-8,-,-2,-1,-1,-,-1,-6,-,-5
23219,愛知県,尾張北東部,小牧市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,28,6,-1,18,1,1,16,3,15,2,1,8,2,18,-,-17,-,-1,-1,-,-9,-2,-2,-,-1,-14,-,-15
23220,愛知県,尾張中西部・海部,稲沢市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,27,2,-,9,-,-,-,-,5,4,6,3,-,-,26,-11,-,-,-,-1,-1,-,-1,-,-,-4,-,-10
23221,愛知県,東三河,新城市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,3,-,-,8,-,-,1,-,1,-,-,-,-,11,-,-4,-,-,-,-,-9,-,-,-,-,-5,-,-
23222,愛知県,知多,東海市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,3,-,-,7,-,-,-,-,6,-,-,-,-,2,-,-4,-,-,-,-,-2,-,-,-,-,-1,-,-5
23223,愛知県,知多,大府市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,19,1,-,3,-,1,2,-,2,1,-,-,-,38,-,-8,-,-1,-,-,-14,-,-,-,-,-4,-,-2
23224,愛知県,知多,知多市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,-,-,5,-,-,-,-,1,-,-,-,-,10,-,-5,-,-,-,-,-,-,-,-,-,-2,-,-3
23225,愛知県,西三河,知立市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,19,3,-,23,-,1,1,1,1,2,-,-,-,15,-,-14,-,-,-,-,-5,-1,-,-,-,-6,-,-2
23226,愛知県,尾張北東部,尾張旭市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,-,-1,7,-,-,-,-,-,-,-,-,1,20,-,-19,-,-,-,-,-,-,-,-,-,-2,-,-
23227,愛知県,西三河,高浜市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-12,4,-,17,-,-,1,1,-,-,-,-,-,8,-,-22,-,-,-,-2,-3,-1,-1,-,-,-13,-,-1
23228,愛知県,尾張北東部,岩倉市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,21,-,-,18,-,-,-,-,2,-,1,-,7,14,-,-10,-,-,-,-,-3,-,-,-,-,-7,-,-1
23229,愛知県,尾張北東部,豊明市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-1,-,-,9,-,3,2,2,1,-,-,-,-,9,-,-10,-,-,-1,-,-8,-,-1,-,-,-2,-,-5
23230,愛知県,尾張北東部,日進市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,5,1,-,6,-,-,-,-,-,-,-,-,-,3,-,-1,-,-,-1,-,-,-,-,-,-,-1,-,-2
23231,愛知県,東三河,田原市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,20,-,-,25,1,3,11,-,5,-,-,-,-,6,-,-3,-,-,-1,-,-2,-,-,-,-,-24,-1,-
23232,愛知県,尾張中西部・海部,愛西市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,20,-,-,12,-,-,-,-,3,-,-,-,1,14,-,-5,-,-,-,-,-,-4,-,-,-,-1,-,-
23233,愛知県,尾張中西部・海部,清須市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-2,2,-1,10,-,-,-,-,-,-,-,-,-,10,-,-13,-,-,-,-,-,-1,-,-,-,-1,-,-8
23234,愛知県,尾張中西部・海部,北名古屋市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,4,-,-,16,-,-,3,-,1,2,-,-,-,7,-,-15,-,-,-1,-,-,-,-,-,-,-1,-,-8
23235,愛知県,尾張中西部・海部,弥富市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,14,-,-1,5,-,3,-,-,5,1,-,-,-,10,-,-4,-,-2,-,-,-2,-,-,-,-,-3,-,2
23236,愛知県,西三河,みよし市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,8,-,-,20,1,2,-,-,1,-,-,1,1,2,-,-11,-,-,-,-,-1,-1,-,-,-1,-2,-,-4
23237,愛知県,尾張中西部・海部,あま市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,2,-,13,1,-,-,1,4,4,2,-,-,21,-,-29,-,-1,-,-,-6,-1,-,-,-,-2,-,-3
23238,愛知県,尾張北東部,長久手市,―,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-10,2,-,-,-,-,-,-,2,-,-,-,-,2,-,-4,-,-,-1,-,-,-,-,-,-,-4,-,-7
23302,愛知県,尾張北東部,愛知郡,東郷町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-3,-,-
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,3,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-3,-,-,-,-,-,-,-,-,-,-,-,1
23361,愛知県,尾張北東部,丹羽郡,大口町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2,-,-,-1,-,-,-,-,-,-,-1,-,-
23362,愛知県,尾張北東部,丹羽郡,扶桑町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,-4,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-2,-,-1,-,-,-1,-,-,-,-,-3,-,1
23424,愛知県,尾張中西部・海部,海部郡,大治町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,3,1,-,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-2
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,4,2,-,2,-,-,1,1,-,-,1,-,3,4,-,-5,-,-,-,-,-1,-,-,-,-,-4,-,-
23427,愛知県,尾張中西部・海部,海部郡,飛島村,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,2,-,-,1,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-2,-,-
23441,愛知県,知多,知多郡,阿久比町,c)外国人,c)女,a)総数,人口増減数（人）,20210101-31,6,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
